1	1	0.024376
1	1	0.004798
1	1	0.004129
1	1	0.004313
1	1	0.003700
1	1	0.003296
2	2	0.003049
1	1	0.003435
1	1	0.002772
1	1	0.002553
1	1	0.002789
2	2	0.002524
1	1	0.002278
2	2	0.002321
1	1	0.002506
1	1	0.001989
1	1	0.002092
1	1	0.002128
2	2	0.002162
1	1	0.001950
1	1	0.001984
1	1	0.002068
1	1	0.002147
2	2	0.002121
1	1	0.002780
1	1	0.002408
1	1	0.001787
1	1	0.001843
1	1	0.002040
1	1	0.002011
1	1	0.001777
3	3	0.002795
2	2	0.002539
2	2	0.002044
2	2	0.001867
2	2	0.001839
1	1	0.001862
1	1	0.002001
1	1	0.001871
14	11	0.004285
3	3	0.002028
22	21	0.014573
1	1	0.002434
3	3	0.002008
2	2	0.002028
3	3	0.002158
2	2	0.002502
3	3	0.002146
3	3	0.002227
2	2	0.002425
3	3	0.002213
1	1	0.002172
1	1	0.001924
1	1	0.002012
1	1	0.002000
1	1	0.001962
1	1	0.001911
1	1	0.001925
1	1	0.001902
1	1	0.001842
1	1	0.001851
1	1	0.001807
2	2	0.001723
1	1	0.001752
2	2	0.002320
2	2	0.002777
1	1	0.001930
1	1	0.001843
2	2	0.001751
2	2	0.002035
4	4	0.001937
2	2	0.001969
1	1	0.002647
2	2	0.001992
2	2	0.002021
5	5	0.002045
1	1	0.001913
1	1	0.001845
3	3	0.001873
1	1	0.001924
1	1	0.001878
1	1	0.001841
2	2	0.001860
3	3	0.001923
10	10	0.002010
3	2	0.003835
1	1	0.001790
9	9	0.002040
4	4	0.001874
3	3	0.001902
4	4	0.001984
6	6	0.002139
3	3	0.001963
14	13	0.004576
12	12	0.002485
8	8	0.002193
11	11	0.001898
8	8	0.002042
5	5	0.001898
22	21	0.004612
3	3	0.001815
11	11	0.002291
5	5	0.001839
11	11	0.002215
3	3	0.001801
25	24	0.006913
3	3	0.002064
21	20	0.004799
2	2	0.002120
14	14	0.002508
6	6	0.001912
4	4	0.001885
15	15	0.001970
7	7	0.001896
6	6	0.002038
5	5	0.002072
19	18	0.005447
5	4	0.004628
17	15	0.007058
5	5	0.002194
11	11	0.002028
12	12	0.003142
24	23	0.004540
14	14	0.002224
4	4	0.001869
6	6	0.001959
8	8	0.002025
4	4	0.001857
6	6	0.002778
14	13	0.004657
25	25	0.002299
14	14	0.001959
6	6	0.002058
8	7	0.003998
7	7	0.001935
8	8	0.001817
3	3	0.001983
3	3	0.001838
6	5	0.005172
5	5	0.002046
6	6	0.001798
2	2	0.001794
17	16	0.005495
5	5	0.002063
5	5	0.001954
12	12	0.002097
4	3	0.004290
10	10	0.001875
11	11	0.001899
5	5	0.002236
7	7	0.001840
6	6	0.001889
4	4	0.001870
11	11	0.003222
5	5	0.001953
5	5	0.001986
7	7	0.002020
3	3	0.001772
11	10	0.005523
4	4	0.001873
3	3	0.001749
4	4	0.001829
10	8	0.004347
4	4	0.001858
9	9	0.002674
6	6	0.002349
5	5	0.001801
4	4	0.001937
13	13	0.002307
10	10	0.002891
13	13	0.002492
14	14	0.002510
16	16	0.002757
5	4	0.003916
16	14	0.004955
9	9	0.001948
7	7	0.001918
8	7	0.003980
13	13	0.002066
9	7	0.004322
23	21	0.005879
7	7	0.002039
1	1	0.001906
3	3	0.001906
1	1	0.001847
1	1	0.001830
1	1	0.001857
5	5	0.002440
3	3	0.002408
3	3	0.002099
2	2	0.001957
1	1	0.001965
3	3	0.002162
7	7	0.002366
1	1	0.002012
3	3	0.002686
4	1	0.005606
4	4	0.002723
3	3	0.002364
4	4	0.002197
4	4	0.002431
4	4	0.002468
2	2	0.002089
4	4	0.002097
2	2	0.002079
7	7	0.002944
2	2	0.002103
11	11	0.002532
4	4	0.002675
6	5	0.004411
5	4	0.004385
5	5	0.002023
9	9	0.002183
4	4	0.001836
4	4	0.001926
5	5	0.001997
4	4	0.002051
6	6	0.002409
6	6	0.002033
3	3	0.001996
5	5	0.002071
5	4	0.004572
5	4	0.004403
4	3	0.004226
4	4	0.001845
4	4	0.001782
8	7	0.005069
8	8	0.003434
4	4	0.001817
6	5	0.004131
4	4	0.001936
6	5	0.003843
3	3	0.001898
8	8	0.001839
9	9	0.001869
4	4	0.002071
7	6	0.005355
2	2	0.001949
3	3	0.001964
2	2	0.001911
