28	26	0.022135
13	8	0.006234
12	8	0.005830
15	12	0.006096
12	12	0.002650
15	9	0.005194
19	13	0.005715
12	9	0.005507
11	8	0.005415
24	24	0.002917
20	19	0.006973
12	10	0.005145
12	10	0.005121
19	16	0.007634
20	17	0.006370
17	12	0.005516
15	15	0.002511
26	20	0.005621
24	22	0.005919
12	8	0.005352
9	9	0.002633
22	19	0.006959
13	13	0.002886
13	8	0.005671
37	34	0.006249
19	18	0.006094
19	18	0.005896
11	11	0.003361
8	8	0.003341
35	34	0.006586
11	11	0.002577
8	8	0.002818
12	12	0.002767
8	8	0.002540
15	14	0.006318
14	12	0.005897
14	12	0.005424
8	8	0.002418
10	10	0.002498
7	7	0.002561
7	5	0.004667
13	13	0.002592
12	12	0.003456
13	8	0.005816
13	12	0.005498
8	7	0.005610
13	13	0.002563
12	11	0.005595
11	11	0.002553
11	11	0.002689
11	11	0.003428
11	11	0.003439
11	11	0.002982
11	11	0.002652
11	11	0.002678
11	8	0.005718
11	8	0.006574
11	11	0.002699
11	11	0.002765
12	12	0.002809
11	10	0.005330
11	11	0.002424
11	11	0.002775
10	10	0.002981
9	9	0.002647
9	9	0.002472
12	7	0.008572
8	8	0.002454
8	8	0.002418
8	8	0.002396
12	11	0.005576
12	11	0.005202
12	11	0.006349
12	11	0.005866
12	11	0.005591
9	7	0.005554
9	9	0.002597
8	8	0.002479
7	7	0.002378
7	7	0.002314
7	7	0.002298
9	9	0.002332
7	7	0.002339
7	7	0.002331
7	7	0.002269
19	17	0.005379
15	14	0.005498
8	7	0.005422
17	14	0.005736
13	13	0.002602
11	3	0.004940
10	10	0.002749
20	20	0.003060
50	45	0.007568
18	18	0.002776
9	7	0.005445
7	7	0.002392
19	19	0.002905
53	42	0.007096
6	5	0.005001
7	6	0.005099
6	5	0.005013
12	8	0.005497
8	7	0.005449
12	8	0.005697
11	10	0.005233
23	22	0.006621
10	10	0.002356
36	36	0.003162
30	30	0.003214
52	45	0.006196
12	10	0.006290
10	7	0.005841
14	14	0.002770
16	16	0.002967
7	7	0.002608
7	7	0.002646
6	6	0.002905
6	6	0.002825
7	7	0.002902
8	8	0.002591
6	6	0.002548
9	9	0.002542
13	13	0.002650
33	33	0.003712
14	12	0.006685
25	25	0.003098
38	31	0.008993
8	5	0.004924
8	5	0.004979
10	10	0.002709
10	10	0.002692
12	12	0.002697
10	10	0.002642
13	5	0.005356
16	14	0.005643
13	13	0.002796
10	9	0.005491
16	16	0.002690
10	10	0.003893
10	10	0.003821
12	10	0.006557
12	10	0.005817
13	11	0.005654
15	13	0.006913
13	11	0.005954
13	11	0.005641
13	11	0.006116
10	9	0.005369
10	9	0.005224
10	9	0.005651
21	11	0.005450
14	12	0.005353
24	24	0.002703
15	15	0.002652
15	15	0.003494
7	7	0.002860
14	11	0.005211
11	11	0.002578
8	8	0.002538
28	28	0.002865
16	12	0.005499
10	6	0.005446
7	5	0.005550
12	11	0.005831
9	9	0.002567
7	7	0.002659
12	12	0.002437
5	5	0.002421
5	5	0.002405
6	6	0.002529
10	8	0.006094
11	11	0.002456
19	13	0.005696
8	8	0.002449
7	7	0.002678
5	5	0.002590
9	8	0.005406
13	8	0.005366
14	14	0.002765
7	7	0.002383
7	7	0.002502
7	5	0.005084
6	4	0.005079
8	1	0.004741
8	8	0.002670
6	6	0.002393
8	8	0.002628
8	8	0.002644
10	10	0.002525
6	6	0.002533
5	5	0.003546
5	5	0.002525
10	10	0.002517
9	7	0.005215
10	8	0.005996
16	5	0.005593
10	9	0.005284
6	6	0.002615
11	10	0.005306
8	8	0.002625
9	9	0.002813
5	3	0.005193
11	8	0.005325
10	6	0.005977
12	9	0.005404
5	5	0.002582
12	12	0.003937
5	3	0.005489
8	6	0.006040
11	11	0.003342
7	7	0.003128
7	5	0.005023
10	10	0.002650
10	10	0.002557
10	10	0.002631
11	11	0.002866
5	5	0.002681
5	3	0.004798
5	5	0.003180
13	13	0.003870
15	13	0.007125
15	13	0.006221
22	22	0.003991
22	22	0.002887
32	23	0.006089
32	30	0.005847
11	11	0.002658
8	8	0.002979
8	8	0.003002
8	8	0.002993
12	12	0.003661
15	15	0.002947
16	11	0.006252
16	11	0.006421
16	11	0.006211
17	7	0.005403
12	12	0.002800
22	11	0.005686
9	9	0.002552
9	9	0.002682
17	11	0.005496
17	11	0.005489
17	11	0.005388
11	10	0.005325
11	10	0.005250
11	10	0.005250
38	36	0.006848
10	8	0.006661
20	20	0.003793
20	17	0.007618
7	7	0.002790
9	9	0.002376
20	17	0.006713
11	11	0.002539
7	7	0.003490
19	19	0.002955
14	14	0.002878
19	18	0.005724
6	3	0.004906
6	3	0.005003
8	7	0.006314
11	11	0.002564
7	7	0.002502
30	28	0.005942
23	12	0.005600
23	16	0.005544
23	12	0.005424
15	15	0.002578
9	7	0.005338
8	8	0.002415
12	11	0.005429
14	14	0.003015
6	6	0.002579
16	15	0.005369
19	18	0.005619
6	6	0.002472
9	9	0.002386
10	10	0.003474
8	8	0.002844
9	8	0.006584
25	22	0.005793
10	9	0.005077
7	7	0.002551
13	13	0.002672
7	7	0.003075
19	19	0.003032
8	6	0.004929
10	8	0.005148
14	12	0.006680
8	8	0.002438
25	20	0.005797
25	20	0.007328
34	33	0.006495
7	7	0.002391
6	6	0.002412
8	8	0.002811
20	20	0.002874
7	7	0.002308
6	6	0.002277
7	7	0.002469
9	9	0.003363
7	7	0.002689
8	8	0.002474
6	6	0.002401
6	6	0.002293
17	14	0.005292
17	14	0.005177
17	17	0.002626
30	30	0.002942
10	9	0.005511
10	9	0.005306
10	9	0.005272
19	15	0.006002
11	11	0.003213
13	13	0.003878
12	12	0.003926
16	12	0.006006
21	21	0.002996
17	16	0.005588
17	16	0.006376
9	9	0.002943
50	47	0.006317
13	13	0.002550
15	14	0.005530
10	10	0.002509
16	16	0.002587
15	15	0.002681
15	15	0.002604
10	10	0.002521
15	15	0.002549
15	13	0.006781
9	9	0.003411
9	9	0.002610
18	16	0.006467
9	9	0.002897
8	8	0.002527
14	14	0.002664
15	9	0.005372
12	12	0.002668
15	13	0.005108
12	12	0.002792
10	10	0.002792
6	6	0.002457
12	12	0.002449
13	13	0.002508
6	6	0.002375
11	11	0.002529
9	6	0.005068
21	17	0.006506
9	9	0.003716
18	18	0.003319
11	11	0.002669
13	10	0.005498
13	10	0.005390
13	10	0.006170
10	9	0.005771
20	13	0.008345
20	13	0.008400
16	14	0.005494
13	12	0.005123
13	12	0.006296
6	5	0.005285
6	5	0.005273
6	5	0.006436
19	17	0.005470
13	10	0.005125
18	13	0.005532
15	15	0.002651
14	14	0.002660
13	3	0.009237
9	9	0.002710
8	8	0.002299
27	27	0.003697
17	15	0.005722
18	16	0.005966
13	11	0.005903
18	16	0.006717
16	14	0.006532
13	11	0.005442
17	15	0.006666
18	18	0.002739
17	15	0.006506
10	10	0.003141
10	10	0.002707
14	11	0.006862
14	14	0.002954
18	15	0.006453
19	15	0.007002
19	15	0.006275
10	7	0.005496
12	9	0.006012
13	10	0.009916
16	16	0.003099
7	7	0.002618
7	5	0.005538
20	20	0.002735
13	13	0.002664
11	11	0.002724
13	13	0.003563
