x generation elapsed_ms log10_p sat one_minus_r2_train one_minus_r2_val one_minus_r2_third
20 20 30984 -1.281893178214e1 nan 1.590239094185e-6 1.390157421954e-6 1.295671146363e-2
40 40 71725 -1.304427027519e1 nan 6.766348633391e-6 7.778290863625e-7 1.059199869633e-2
60 60 113492 -1.305825501241e1 nan 3.006603492395e-6 6.479400553872e-7 1.057622302324e-2
80 80 153712 -1.306156217196e1 nan 2.686710786404e-6 5.367367635900e-7 1.057601068169e-2
100 100 188281 -1.311648671743e1 nan 5.048421371612e-6 2.147275336040e-5 9.952202439308e-3
120 120 220942 -1.313250354447e1 nan 6.600461802009e-6 2.304585905222e-5 9.978276677430e-3
180 180 322084 -1.313336580386e1 nan 7.005414772832e-6 2.329162089165e-5 9.966320358217e-3
200 200 354854 -1.314403555059e1 nan 2.097250580835e-5 2.313845834578e-5 9.944306686521e-3
220 220 389558 -1.316440270118e1 nan 1.079126741388e-4 1.404717477272e-4 8.328766562045e-3
240 240 435767 -1.319153922323e1 nan 1.802188489819e-5 3.291484972578e-5 9.492913261056e-3
280 280 519863 -1.320107821839e1 nan 2.444154051762e-5 3.158576146245e-5 9.453730657697e-3
380 380 693438 -1.320616750444e1 nan 2.390398731222e-5 3.126528827124e-5 9.446019306779e-3
440 440 799622 -1.322728065842e1 nan 2.884435889439e-5 3.195149838575e-5 9.334160946310e-3
520 520 943256 -1.325142079821e1 nan 2.885258254537e-5 3.278712756583e-5 9.292718023062e-3
720 720 1315493 -1.325357598511e1 nan 2.887213304359e-5 3.245554762543e-5 9.292142465711e-3
920 920 1710645 -1.325388397816e1 nan 2.900138133555e-5 3.256756099279e-5 9.290958754718e-3
940 940 1749428 -1.346530599209e1 nan 3.191641735600e-5 2.525939817122e-5 7.591540925205e-3
1000 1000 1858858 -1.348596215882e1 nan 2.913932075899e-5 2.504101212242e-5 7.137922570109e-3
1040 1040 1931572 -1.349195972326e1 nan 2.520041380205e-5 2.157983544748e-6 7.171624805778e-3
1060 1060 1969663 -1.351867009063e1 nan 2.518710061838e-5 2.050973989753e-6 7.112870458514e-3
1080 1080 2011071 -1.355164004318e1 nan 2.445247992000e-5 1.793725573407e-6 7.049885578454e-3
1100 1100 2056305 -1.358189503311e1 nan 2.470358776918e-5 1.638466074039e-6 6.772398948669e-3
1140 1140 2126826 -1.358338438371e1 nan 2.467340709700e-5 1.566458422420e-6 6.773361936212e-3
1220 1220 2265974 -1.358562070630e1 nan 2.572932316980e-5 1.488001089567e-6 6.768753752112e-3
1360 1360 2539323 -1.360173419912e1 nan 2.636192039063e-5 6.693131581414e-6 6.603796035051e-3
1380 1380 2578294 -1.361306521230e1 nan 2.635076089064e-5 9.906460718412e-7 6.596733815968e-3
1580 1580 2965433 -1.361306521230e1 nan 2.635076089064e-5 9.906460718412e-7 6.596733815968e-3
1740 1740 3274921 -1.361306521230e1 nan 2.635076089064e-5 9.906460718412e-7 6.596733815968e-3
